linkedin_id,company_name,mean,std,q10,q50,q90,n_employees,headcount_ratio,headcount_mismatch
searchmetrics-inc,Searchmetrics,0.5009765625,0.7616279743586652,0.0,0.0,1.0,50,1.0638297872340425,False
etalytics,etalytics,0.4833984375,0.7678334051879734,0.0,0.0,1.0,51,1.457142857142857,False
ventagium,Ventagium Data Consulting,0.4833984375,0.7537133162698922,0.0,0.0,1.0,38,1.4074074074074074,False
3alica,3Alica,0.48046875,0.7484419852423015,0.0,0.0,1.0,57,0.6666666666666666,False
nuaig,NuAIg AI Consulting,0.47265625,0.7495013804763387,0.0,0.0,1.0,29,1.2083333333333333,False
bravinci,Bravinci,0.466796875,0.7531646084955362,0.0,0.0,1.0,26,2.888888888888889,False
rotunda-solutions,Rotunda Solutions,0.45703125,0.719503256784455,0.0,0.0,1.0,16,1.2307692307692308,False
ai-superior,AI Superior,0.4541015625,0.7394061525542364,0.0,0.0,1.0,12,1.5,False
tapptitude,Tapptitude,0.4365234375,0.7247534760269754,0.0,0.0,1.0,45,1.0465116279069768,False
idalab-gmbh,idalab,0.4326171875,0.6927009142332569,0.0,0.0,1.0,13,1.1818181818181819,False
objetivasolucao,Objetiva Solução,0.4228515625,0.7097983823532628,0.0,0.0,1.0,42,1.1666666666666667,False
hacksoft,HackSoft,0.421875,0.7313768586542782,0.0,0.0,1.0,46,1.3529411764705883,False
digitalstrategyinnovation,Digital Strategy Innovation,0.4130859375,0.7003519263482796,0.0,0.0,1.0,22,2.75,False
hydromind-group,HydroMind,0.408203125,0.6520483753067976,0.0,0.0,1.0,4,2.0,False
archiot-digital-solutions-pvt-ltd,Archiot,0.365234375,0.6683427087343434,0.0,0.0,1.0,38,1.0555555555555556,False
cosmosthrace,Cosmos Thrace,0.353515625,0.6281384822480305,0.0,0.0,1.0,23,1.3529411764705883,False
pitt-technology-group,Pitt Technology Group,0.34375,0.6547602137424051,0.0,0.0,1.0,34,1.4782608695652173,False
rci-analytics-intelligence,RCI Analytics Intelligence,0.3271484375,0.6565514734895571,0.0,0.0,1.0,32,1.032258064516129,False
grps-lab-private-limited,GRPS Lab,0.32421875,0.6013976032114174,0.0,0.0,1.0,28,1.4,False
onepredict,onepredict,0.322265625,0.6168629239493645,0.0,0.0,1.0,41,0.4634146341463415,False
xcale-consulting,XCALE Tech,0.3173828125,0.623318508332289,0.0,0.0,1.0,29,1.16,False
kaeyros-analytics,Kaeyros Analytics,0.3154296875,0.6036317583955075,0.0,0.0,1.0,31,1.631578947368421,False
bysgrup,Bys Grup,0.2763671875,0.5649150291622094,0.0,0.0,1.0,30,1.2,False
datapy,Datapy,0.265625,0.522679021364929,0.0,0.0,1.0,29,2.0714285714285716,False
lucientdata,Lucient,0.2578125,0.5501575591080704,0.0,0.0,1.0,27,2.7,False
alltegrio,Alltegrio,0.248046875,0.529404970511927,0.0,0.0,1.0,22,2.2,False
rare-mile-technologies,Rare Mile Technologies,0.244140625,0.5348817441496853,0.0,0.0,1.0,22,1.1578947368421053,False
austin-technology,Austin Technology,0.2431640625,0.5362377515696709,0.0,0.0,1.0,20,1.4285714285714286,False
intelligichain,IntelligiChain,0.232421875,0.47463348704182723,0.0,0.0,1.0,12,0.9166666666666666,False
itspeoplenederland,ITsPeople,0.2216796875,0.4908127735194983,0.0,0.0,1.0,23,1.2105263157894737,False
isboptimus,ISB Optimus,0.220703125,0.4801947580047437,0.0,0.0,1.0,20,2.2222222222222223,False
softtact,Softtact,0.216796875,0.4979166496415182,0.0,0.0,1.0,23,2.3,False
kifwat-india,Kifwat India,0.201171875,0.48063941963699186,0.0,0.0,1.0,20,1.3333333333333333,False
miracle-finland-oy,Miracle Finland,0.1923828125,0.43872661300015736,0.0,0.0,1.0,18,1.2857142857142858,False
dain-protocol,Dain,0.1904296875,0.46965143629999934,0.0,0.0,1.0,18,3.0,False
hexafoldtech,Hexafold Technologies,0.1875,0.44633927678392815,0.0,0.0,1.0,17,1.3076923076923077,False
softshark,SoftShark,0.181640625,0.4637386746321783,0.0,0.0,1.0,19,1.3571428571428572,False
5onenalytics,5ONE Analytics,0.17578125,0.4510830878545964,0.0,0.0,1.0,17,1.5454545454545454,False
projak-infotech-pvt-ltd,Projak Infotech,0.1728515625,0.4174013654042217,0.0,0.0,1.0,17,1.0,False
lund&bendsen-as,Lund&Bendsen,0.1708984375,0.43871791798382087,0.0,0.0,1.0,17,1.7,False
craftworks-gmbh,craftworks,0.1708984375,0.43871791798382087,0.0,0.0,1.0,29,0.5172413793103449,False
