linkedin_id,company_name,mean,std,q10,q50,q90,n_employees
jdsc,Japan Data Science Consortium,0.033203125,0.18453672396093515,0.0,0.0,0.0,87
-.technology-sarl,Technology,0.033203125,0.1791666193525858,0.0,0.0,0.0,3
alexander-thamm-gmbh,Alexander Thamm,0.03125,0.2914805954090255,0.0,0.0,0.0,208
tqcs,The Quantitative Consulting & Solutions,0.0302734375,0.18238203442755427,0.0,0.0,0.0,3
flowplus-helping-you-work-smarter,FlowPlus,0.0283203125,0.16588632372773335,0.0,0.0,0.0,3
aiqrate,AIQRATE,0.0283203125,0.16588632372773335,0.0,0.0,0.0,3
stowe-research-international-inc,Stowe Research International,0.02734375,0.16308301363396954,0.0,0.0,0.0,2
data-cowboys-llc,Data Cowboys,0.0244140625,0.15433086552030378,0.0,0.0,0.0,2
inftech-gmbh,Inftech,0.0244140625,0.16053392492630988,0.0,0.0,0.0,2
aiso-lab,aiso-lab,0.0224609375,0.14817706903101133,0.0,0.0,0.0,2
sevn3-ai,Sevn3.ai,0.021484375,0.15157810406143551,0.0,0.0,0.0,3
albitech-consulting-oy,Albitech Consulting,0.01953125,0.1383827311243621,0.0,0.0,0.0,2
amplient-labs,Amplient Labs,0.01953125,0.1383827311243621,0.0,0.0,0.0,2
kantic-analytics,Kantic Analytics,0.015625,0.12401959270615269,0.0,0.0,0.0,2
cantabpi,CantabPi,0.015625,0.12401959270615269,0.0,0.0,0.0,7
hubthunder,HubThunder,0.0146484375,0.12014100373647872,0.0,0.0,0.0,1
tarahai,Tarah AI,0.013671875,0.11612473825152148,0.0,0.0,0.0,2
resileo-labs,Resileo,0.01171875,0.10761701026528055,0.0,0.0,0.0,37
genysolutions,Gen Y Solutions,0.009765625,0.0983374677747977,0.0,0.0,0.0,1
ted-rpa-data,TED Consulting,0.009765625,0.0983374677747977,0.0,0.0,0.0,14
knowm-inc,Knowm,0.0087890625,0.09333710344965229,0.0,0.0,0.0,1
eoda-gmbh,eoda,0.0078125,0.08804240366863003,0.0,0.0,0.0,19
lipon-technologies,Lipon Technologies,0.005859375,0.07632196751007782,0.0,0.0,0.0,1
